Genre1;Genre
Manuale Clasa 6;Tankönyv, segédkönyv > 5-12 évfolyam
Didactica;Tankönyv, segédkönyv > Módszertan
Agende;Életmód, egészség
Arheologie;Történelem > Régészet
Literatura greaca;Irodalom > Szépirodalom > Próza > Világirodalom
Trauma si Vindecare;Társadalomtudomány > Pszichológia
Literatura elvetiana;Irodalom > Szépirodalom > Próza > Világirodalom
Penal;Társadalomtudomány > Jog
Stiinta&Filosofie;Társadalomtudomány > Filozófia
Civil;Társadalomtudomány > Jog
Coduri;Társadalomtudomány > Jog
Manuale Clasa 7;Tankönyv, segédkönyv > 5-12 évfolyam
Literatura araba;Irodalom > Szépirodalom > Próza > Világirodalom
Literatura maghiara;Irodalom > Szépirodalom > Próza > Magyar irodalom
Alte reviste;Egyéb
Black Cat Publishing;Egyéb
Alternative Rock;Egyéb
Aspecte generale;Egyéb
Auxiliare - Clasa a II-a;Tankönyv, segédkönyv > 1-4 évfolyam
Bibliografie scolara;Gyermek- és ifjúsági > Kötelező olvasmányok
Blues;Egyéb
Cambridge University Press;Egyéb
Cărți recomandate de Adriana Mitu;Egyéb
Citit de Scena9;Egyéb
Clasa a II-a - Limba si literature romana;Tankönyv, segédkönyv > 1-4 évfolyam
Clasa a II-a - Limba si literatura romana;Tankönyv, segédkönyv > 1-4 évfolyam
Folk;Egyéb
Clasa a II-a - Matematica;Tankönyv, segédkönyv > 1-4 évfolyam
Clasa a III-a - Limba si literature romana;Tankönyv, segédkönyv > 1-4 évfolyam
Clasa a III-a - Limba si literatura romana;Tankönyv, segédkönyv > 1-4 évfolyam
Clasa a IV-a - Limba engleza;Tankönyv, segédkönyv > 1-4 évfolyam
Folk/Country;Egyéb
Cultura urbana si traditionala;Egyéb
Cursuri limbi straine;Egyéb
Gradinita - Matematica;Gyermek- és ifjúsági > Mesekönyvek
MM Publications;Egyéb
Pentru copii, adolescenti - in limba romana;Gyermek- és ifjúsági > Ifjúsági irodalom > 14 éves kor felett
Scolaresti; Tankönyv, segédkönyv
Clasa a V-a - Limba germana;Tankönyv, segédkönyv > 5-12 évfolyam
Clasa a V-a - Limba si literatura romana;Tankönyv, segédkönyv > 5-12 évfolyam
Clasa a VI-a - Biologie;Tankönyv, segédkönyv > 5-12 évfolyam
Clasa a VI-a - Geografie;Tankönyv, segédkönyv > 5-12 évfolyam
Clasa a VIII-a - Limba si literatura romana;Tankönyv, segédkönyv > 5-12 évfolyam
Clasa a XI-a - Informatica si TIC;Tankönyv, segédkönyv > 5-12 évfolyam
Clasa a XII-a - Economie;Tankönyv, segédkönyv > 5-12 évfolyam
Clasa a XI-a - Sociologie;Tankönyv, segédkönyv > 5-12 évfolyam
Clasa a XII-a - Limba engleza;Tankönyv, segédkönyv > 5-12 évfolyam
Clasa a XII-a - Limba si literatura romana;Tankönyv, segédkönyv > 5-12 évfolyam
Clasa I - Limba engleza;Tankönyv, segédkönyv > 1-4 évfolyam
Comics;Irodalom > Szórakoztató irodalom > Képregény
Dance Pop;Egyéb
Electro;Egyéb
Gradinita - Arte vizuale;Gyermek- és ifjúsági > Mesekönyvek
Gradinita - Educatie civica;Gyermek- és ifjúsági > Mesekönyvek
Gradinita - Stiinte ale naturii;Gyermek- és ifjúsági > Mesekönyvek
Jocuri in limba romana;Egyéb
Lumanari;Egyéb
Macmillan Education;Egyéb
Pentru prieteni;Egyéb
Pop;Egyéb
Prima pagina;Egyéb
